"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65"
"16" 0 0 65.8983 59.7366 79.8403 56.5663 60.6563 0 80.1397 87.7364 53.3156 66.6195 68.4839 65.1075 74.8442 76.0627 78.5788 0 0 0 0 0 0 0 0 0 0 39.2945 0 0 0 0 35.2793 0 0 0 0 20.6889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24.8514 0 0 0 0 0 0 0 0 0 33.9516 0 0
"17" 0 0 68.3049 63.6254 65.5925 54.5682 79.4115 73.5571 79.8078 71.2047 77.4879 85.6854 75.9346 66.9036 31.7377 62.2216 75.0293 76.1613 64.6185 0 0 0 0 0 0 0 0 61.1324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53.8775 54.4546 0 0 26.7434 48.0317 0 0
"18" 0 76.8282 81.0958 66.7654 61.1058 63.1204 62.2313 76.9052 73.8158 82.5031 64.3475 75.1526 57.5628 60.8857 69.6639 74.7509 65.9745 77.1857 58.7335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37.1707 65.2939 0 0 57.7458 0 0 0
"19" 81.9685 70.2737 79.155 75.8416 84.0783 73.6074 55.1969 81.6369 66.266 63.8706 78.526 82.3153 69.2551 72.0156 65.6461 80.7556 85.0994 59.7183 64.709 54.4064 84.695 0 0 0 0 0 0 0 10.1054 42.4247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20" 0 71.2427 82.3855 66.3257 74.4207 80.3612 78.8642 55.991 69.8515 69.756 85.306 0 72.8138 55.5643 71.4168 72.5056 69.994 83.4754 77.3278 61.849 81.1185 0 0 0 0 0 0 0 44.4212 36.1008 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"21" 0 66.1171 61.0586 71.4333 65.0256 73.858 66.843 70.454 46.9206 64.938 70.6552 76.4082 71.4925 67.1055 66.8557 69.1739 70.5699 74.6046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" 0 0 74.6645 51.9004 63.4857 54.5002 70.3595 79.3704 75.3987 67.9373 61.207 66.6117 57.3787 68.3062 81.6809 67.3915 83.4584 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"23" 0 0 0 59.5757 77.1475 72.6219 85.6313 0 71.0494 58.0045 72.3668 80.5683 68.7381 67.4466 0 65.7146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" 0 0 0 0 52.4318 76.8493 73.5447 57.0138 81.9348 0 73.7591 78.693 68.8496 77.4138 78.8026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" 0 0 0 0 0 0 86.4407 61.6938 57.9085 66.8326 68.3936 74.6448 57.6328 65.2202 69.9013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"26" 0 0 0 0 0 0 57.4073 75.7062 70.4416 59.0396 0 77.094 62.0915 79.0006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"27" 0 0 0 0 0 0 0 71.6648 40.4577 0 54.2033 67.8702 56.6896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"28" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"29" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"30" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
